timestamp,tenant_id,device_id,device_type,gateway_id,protocol,src_zone,dst_zone,message_type,payload_bytes,packet_count,session_duration_ms,rtt_ms,jitter_ms,packet_loss_pct,retransmission_count,qos_level,tls_version,cipher_suite,auth_method,cert_status,key_rotation_age_days,firmware_age_days,cpu_usage_pct,mem_usage_pct,signal_rssi_dbm,battery_pct,conn_attempts_5m,failed_auth_1h,topic_frequency_1m,duplicate_msg_rate_pct,payload_entropy,anomaly_score_baseline,risk_score,risk_level,attack_type,label_secure
2025-01-01 00:00:09,tenant_241,dev_034562,camera,gw_2423,MQTT,device_lan,cloud,status,1248,5,718,110.91,3.59,0.235,0,1,TLS1.2,TLS_AES_256_GCM_SHA384,mTLS,missing,14,75,60.42,36.05,-51.7,76.9,8,0,5.92,2.229,5.665,0.1131,0.2066,low,normal,1
2025-01-01 00:00:31,tenant_052,dev_033948,sensor,gw_0842,HTTP,dmz,cloud,heartbeat,1269,4,340,58.5,21.35,2.179,3,2,TLS1.2,TLS_AES_128_GCM_SHA256,basic,valid,45,143,63.7,64.61,-60.2,32.1,7,0,2.51,15.824,5.803,0.1623,0.2105,low,normal,1
2025-01-01 00:02:16,tenant_026,dev_044627,sensor,gw_1291,CoAP,edge,cloud,status,448,58,874,105.46,5.28,20.554829351016203,0,2,TLS1.2,TLS_AES_128_GCM_SHA256,psk,valid,77,162,59.69358592035793,74.97,-69.1,64.4,67,1,16.31192172330232,5.574,6.066,0.6829491165422487,0.4257,medium,dos,0
2025-01-01 00:03:10,tenant_258,dev_030333,camera,gw_1641,AMQP,dmz,dmz,telemetry,1016,4,2057,116.07,3.61,0.031,0,1,TLS1.3,TLS_CHACHA20_POLY1305_SHA256,token,valid,32,59,21.85,73.65,-78.1,80.3,6,1,4.17,5.81,7.155,0.4691,0.178,low,normal,1
2025-01-01 00:03:19,tenant_065,dev_031647,gateway_client,gw_1193,HTTP,cloud,cloud,telemetry,331,4,873,93.17,17.95,0.155,0,2,TLS1.2,ECDHE_RSA_AES_128_GCM_SHA256,token,valid,109,65,29.03,36.65,-74.9,67.0,4,1,15.54,0.467,5.461,0.0232,0.1167,low,normal,1
2025-01-01 00:03:30,tenant_242,dev_022752,sensor,gw_0787,HTTP,edge,dmz,heartbeat,407,5,477,60.19,11.7,1.31,0,1,TLS1.2,TLS_AES_128_GCM_SHA256,token,valid,98,230,40.36,63.84,-72.0,30.3,6,0,4.96,0.146,4.075,0.0185,0.0938,low,normal,1
2025-01-01 00:04:44,tenant_121,dev_048965,sensor,gw_1540,AMQP,device_lan,cloud,status,409,1,2120,71.94,20.44,1.023,1,1,TLS1.2,TLS_CHACHA20_POLY1305_SHA256,mTLS,valid,26,138,41.3,34.87,-51.0,54.2,2,0,6.89,5.217,5.014,0.1409,0.1301,low,normal,1
2025-01-01 00:07:24,tenant_280,dev_032400,tracker,gw_2269,MQTT,edge,cloud,command,239,35,203,80.54,10.51,18.66412803948936,2,2,TLS1.3,TLS_AES_256_GCM_SHA384,token,valid,70,156,100.0,82.16,-69.2,78.1,49,0,20.340298759940485,4.083,5.536,0.8064554805271381,0.409,medium,dos,0
2025-01-01 00:08:09,tenant_036,dev_009583,sensor,gw_2236,HTTP,dmz,cloud,telemetry,288,4,1724,33.99,5.62,0.18,2,1,NONE,ECDHE_RSA_AES_128_GCM_SHA256,basic,valid,54,70,22.89,59.47,-77.5,99.5,6,1,6.63,0.52,4.698,0.2716,0.1511,low,normal,1
2025-01-01 00:08:44,tenant_039,dev_038364,smart_meter,gw_1553,MQTT,device_lan,dmz,telemetry,1009,4,153,90.03,4.19,0.233,1,1,NONE,TLS_AES_128_GCM_SHA256,psk,valid,74,94,51.92,37.98,-55.1,54.3,6,0,4.79,1.147,4.944,0.0464,0.1562,low,normal,1
